winSize,hiddenLayers,neurons,function,learning_rate,batchSize,epochs,r2,mae,rmse
30,4,64,sigmoid,6.684792870390742e-05,128,epochs,0.6831465363502502,0.3986225128173828,0.5505062937736511
30,4,512,relu,1.228546667784701e-05,128,epochs,0.8361520767211914,0.27687904238700867,0.3958708941936493
10,9,512,relu,0.00022265227595332589,256,epochs,0.899965763092041,0.19884322583675385,0.3127191960811615
10,5,256,relu,1.897743576692889e-05,64,epochs,0.8150306940078735,0.2985871732234955,0.4252360761165619
10,9,512,sigmoid,2.3685278111439773e-05,512,epochs,-0.022386908531188965,0.7873553037643433,0.9997418522834778
10,9,64,relu,0.0009633629853717722,256,epochs,0.858166515827179,0.24443697929382324,0.37236568331718445
20,5,256,tanh,4.25129353496296e-05,256,epochs,0.8249462842941284,0.3005152642726898,0.42543503642082214
10,8,128,relu,0.0002436579778120959,256,epochs,0.8351361155509949,0.2816300392150879,0.4014607071876526
10,5,64,tanh,0.00015976967842322472,64,epochs,0.8269795775413513,0.2950516939163208,0.4112717807292938
10,9,512,tanh,0.004508680508360884,512,epochs,0.2069791555404663,0.682475745677948,0.8804861903190613
20,8,512,tanh,4.5494854190782555e-05,128,epochs,0.9149948954582214,0.21211260557174683,0.296462744474411
10,10,512,sigmoid,1.550897580519624e-05,512,epochs,-0.020173311233520508,0.7876349687576294,0.9986590147018433
30,10,256,sigmoid,0.00010483985680430916,256,epochs,0.6824147701263428,0.3902445137500763,0.551141619682312
30,4,256,sigmoid,0.0003334176958751923,128,epochs,0.8575384020805359,0.2613024413585663,0.36913225054740906
30,4,256,tanh,1.1440110706279397e-05,256,epochs,0.7577216625213623,0.3569225072860718,0.4813825488090515
10,5,64,relu,0.0015693607424455778,64,epochs,0.8833938837051392,0.2280118614435196,0.33762994408607483
20,8,128,tanh,0.00038284357432014256,512,epochs,0.8821353912353516,0.25188711285591125,0.34909147024154663
20,9,256,tanh,0.004998529435382428,512,epochs,0.24366146326065063,0.6640335321426392,0.8843123316764832
10,4,64,sigmoid,0.0007821838988418476,128,epochs,0.715180516242981,0.3666381239891052,0.5276733040809631
10,8,128,tanh,0.0010160927085434515,128,epochs,0.9037100076675415,0.20148099958896637,0.30681097507476807
20,10,512,relu,1.9185688522793023e-05,512,epochs,0.8727592825889587,0.2667904794216156,0.3627109229564667
10,7,256,relu,5.571459806147373e-05,128,epochs,0.8382721543312073,0.2843411862850189,0.39762401580810547
10,7,64,relu,0.0009045543822897101,64,epochs,0.8555713891983032,0.25477468967437744,0.37575680017471313
20,5,512,relu,3.1182531103129216e-05,64,epochs,0.8909922242164612,0.2407269924879074,0.3357192873954773
20,7,512,relu,3.712732004925599e-05,128,epochs,0.8938117623329163,0.2402358055114746,0.33134910464286804
10,8,512,sigmoid,0.0057300893297848555,128,epochs,-0.0290755033493042,0.7866199612617493,1.0030068159103394
10,7,64,sigmoid,5.478302928696321e-05,64,epochs,0.5138494968414307,0.4971639811992645,0.689391016960144
20,5,256,relu,6.263881564065016e-05,128,epochs,0.8820604085922241,0.25537803769111633,0.34920254349708557
10,4,512,sigmoid,0.009893804455351396,64,epochs,-0.029228925704956055,0.7866039872169495,1.0030815601348877
10,6,64,relu,0.00012840480221142274,128,epochs,0.8096809387207031,0.30087336897850037,0.43134164810180664
30,8,64,sigmoid,0.002826912754818361,256,epochs,0.8305069208145142,0.2828032374382019,0.4026327431201935
30,5,256,tanh,0.0006523632401230852,256,epochs,0.9030719995498657,0.2119378298521042,0.3044792115688324
20,6,64,relu,0.0007995642024248066,256,epochs,0.8611087203025818,0.27402326464653015,0.3789528012275696
10,9,512,sigmoid,0.0013091889777988965,64,epochs,-0.03726959228515625,0.7868200540542603,1.0069921016693115
30,8,128,tanh,2.411773716145339e-05,256,epochs,0.7833502292633057,0.33281299471855164,0.4552103877067566
10,9,64,tanh,0.00218951903725925,512,epochs,0.8595051765441895,0.24883998930454254,0.3706042766571045
10,7,64,relu,0.0016206656049082262,256,epochs,0.8658177852630615,0.24184423685073853,0.36218273639678955
10,6,128,sigmoid,2.110021493480851e-05,64,epochs,0.5026849508285522,0.5047492384910583,0.6972620487213135
20,6,128,relu,1.1775878174855525e-05,128,epochs,0.7644050121307373,0.34651222825050354,0.4935494065284729
20,9,512,sigmoid,0.008779081112042713,256,epochs,-0.024718880653381348,0.7920772433280945,1.029318928718567
20,6,256,tanh,0.0006586073300236708,64,epochs,0.9388598799705505,0.1545218825340271,0.2514263391494751
20,4,128,tanh,0.00019673978791049987,256,epochs,0.8298512697219849,0.29396358132362366,0.4194323420524597
30,6,256,sigmoid,0.0001679495041029981,512,epochs,0.7572097778320312,0.33944690227508545,0.48189085721969604
20,9,128,sigmoid,0.0005097013273848027,512,epochs,0.7412387132644653,0.3548455834388733,0.5172460675239563
30,6,512,tanh,0.00021207007887829305,128,epochs,0.9220583438873291,0.19136974215507507,0.2730347812175751
30,4,256,sigmoid,0.0009807572086496035,256,epochs,0.87677001953125,0.23999422788619995,0.3433138132095337
20,5,128,relu,1.183794078335495e-05,128,epochs,0.7699826955795288,0.34386780858039856,0.48767203092575073
20,9,128,sigmoid,0.0012276165974064767,512,epochs,0.814436674118042,0.3047793209552765,0.43801969289779663
10,10,512,relu,3.3702339187958174e-05,512,epochs,0.8471938967704773,0.272390753030777,0.3865009844303131
30,8,256,tanh,0.0006885840651732388,512,epochs,0.9196609854698181,0.1911678910255432,0.2772020101547241
20,6,128,sigmoid,6.79100514336204e-05,512,epochs,0.4841320514678955,0.5223209261894226,0.7303261160850525
10,6,256,tanh,0.0047761779398888034,64,epochs,0.6500800848007202,0.4154204726219177,0.5848770141601562
10,4,512,tanh,9.83205214313305e-05,512,epochs,0.848124086856842,0.27178552746772766,0.38532277941703796
20,10,64,sigmoid,0.00013840222969877848,64,epochs,0.614937424659729,0.42878901958465576,0.6309765577316284
30,10,128,tanh,4.5526567100334687e-05,512,epochs,0.8128198385238647,0.3080219328403473,0.4231194257736206
20,5,64,tanh,0.0005965932383818252,64,epochs,0.8832140564918518,0.2445746511220932,0.34749042987823486
10,4,256,tanh,9.59528769787605e-05,512,epochs,0.7828623056411743,0.32838529348373413,0.4607314169406891
20,10,512,tanh,0.0031969271856318133,512,epochs,0.04710352420806885,0.7552135586738586,0.9925912618637085
10,5,128,relu,0.0007311508172353421,128,epochs,0.8920400142669678,0.22182407975196838,0.32487156987190247
20,9,256,tanh,3.186892617181474e-05,64,epochs,0.8708435893058777,0.26845088601112366,0.36543115973472595
30,7,512,sigmoid,3.9354040776236875e-05,128,epochs,0.6527184844017029,0.4171953797340393,0.5763335227966309
10,10,64,tanh,0.00039649319317060325,256,epochs,0.8366574048995972,0.28003695607185364,0.3996041715145111
20,9,512,sigmoid,2.877222496280585e-05,128,epochs,0.5056407451629639,0.5015679001808167,0.7149388194084167
20,7,256,tanh,0.003590372262140985,64,epochs,0.7421795725822449,0.3795129656791687,0.5163049101829529
30,7,256,relu,0.00030403215011820674,256,epochs,0.9038204550743103,0.20639553666114807,0.3033013939857483
30,9,256,sigmoid,1.0726384070448124e-05,128,epochs,0.5164176225662231,0.5071395635604858,0.680092990398407
30,9,512,tanh,0.002392206160157711,64,epochs,0.4167937636375427,0.5668020844459534,0.7468685507774353
30,8,256,tanh,0.009769996134226588,256,epochs,0.5266361236572266,0.5069635510444641,0.6728691458702087
10,6,64,sigmoid,0.0004051276605570742,128,epochs,0.6679420471191406,0.40244656801223755,0.5697537660598755
30,8,256,relu,0.003146915561245648,256,epochs,0.9134844541549683,0.17166799306869507,0.2876604497432709
10,4,256,sigmoid,0.0067962421501414445,512,epochs,0.8360171318054199,0.2752087116241455,0.4003865420818329
20,7,512,tanh,3.5734771643777725e-05,64,epochs,0.9144837260246277,0.20585951209068298,0.29735273122787476
10,8,64,relu,2.802804160045068e-05,256,epochs,0.7184677124023438,0.3725786805152893,0.5246194005012512
30,5,512,tanh,0.005315120719516047,256,epochs,0.8468900918960571,0.2738986909389496,0.3826791048049927
10,8,64,relu,0.0007525668624033472,256,epochs,0.8323915004730225,0.28025954961776733,0.4047885537147522
20,7,512,tanh,1.2529091074176058e-05,256,epochs,0.8087974190711975,0.3181024193763733,0.444625586271286
20,10,128,tanh,2.2096775705946823e-05,128,epochs,0.8144170045852661,0.3146945834159851,0.43804293870925903
30,9,256,tanh,2.3608096653013916e-05,256,epochs,0.8217026591300964,0.3004780411720276,0.41295763850212097
20,9,256,sigmoid,5.6377226560240775e-05,64,epochs,0.5915306210517883,0.44169795513153076,0.649871289730072
20,8,64,relu,0.00025793036324233716,512,epochs,0.8409117460250854,0.29245835542678833,0.40557071566581726
20,6,512,tanh,9.187022243182289e-05,64,epochs,0.9250651001930237,0.19309048354625702,0.2783489525318146
30,7,64,tanh,1.8372970525496184e-05,256,epochs,0.6990298628807068,0.3889424502849579,0.5365309715270996
30,10,512,tanh,1.4541602073352949e-05,256,epochs,0.8250728845596313,0.2965085506439209,0.40903612971305847
20,7,512,relu,1.2206982650618908e-05,128,epochs,0.8453989028930664,0.28584834933280945,0.39981022477149963
10,10,64,tanh,0.006937168239262395,128,epochs,0.5559817552566528,0.4812633991241455,0.658841073513031
20,8,128,tanh,3.7310503759486674e-05,128,epochs,0.8281649351119995,0.30285224318504333,0.4215056896209717
30,6,64,tanh,0.001507137749601026,512,epochs,0.8756969571113586,0.24214039742946625,0.3448053300380707
30,10,512,tanh,0.006288640483101897,128,epochs,0.44863462448120117,0.5464915037155151,0.7261942625045776
20,9,512,tanh,0.009230856631871225,128,epochs,0.3613835573196411,0.5960029363632202,0.812582790851593
20,4,512,relu,0.0014700478888089645,512,epochs,0.9362776875495911,0.16530434787273407,0.25668081641197205
20,6,512,sigmoid,1.7415901578589307e-05,256,epochs,0.4748390316963196,0.5234548449516296,0.7368749380111694
30,10,512,sigmoid,1.281437117815625e-05,64,epochs,0.552587628364563,0.48257407546043396,0.6541646122932434
30,9,64,tanh,3.15569019315472e-05,256,epochs,0.7664276957511902,0.3446882367134094,0.47265446186065674
10,5,512,sigmoid,0.0011101997215194372,128,epochs,0.8450182676315308,0.26332998275756836,0.3892427384853363
30,9,128,tanh,0.005476297687998955,128,epochs,0.5321533679962158,0.4985264241695404,0.6689363718032837
20,6,128,relu,0.00021144107142647336,256,epochs,0.872784435749054,0.2658722996711731,0.3626750707626343
20,5,512,tanh,2.089102757268368e-05,512,epochs,0.7636537551879883,0.344736248254776,0.49433568120002747
10,10,512,tanh,1.0575329245056652e-05,64,epochs,0.8507303595542908,0.2702263593673706,0.3820023238658905
30,10,256,relu,0.0008125566220751722,256,epochs,0.9183002710342407,0.15445639193058014,0.27953967452049255
30,9,64,tanh,0.002321835526300552,64,epochs,0.8762399554252625,0.2288185954093933,0.3440513610839844
10,5,128,sigmoid,0.004259727230073409,256,epochs,0.8369757533073425,0.2728748023509979,0.3992145359516144
20,10,512,tanh,0.0017365130529706282,256,epochs,0.20843881368637085,0.6807332634925842,0.9046692252159119
20,10,256,relu,0.002355298230317623,64,epochs,0.9172794222831726,0.1914411336183548,0.2924518287181854
30,6,64,sigmoid,5.0288155504944943e-05,64,epochs,0.7098230123519897,0.381110280752182,0.5268228054046631
30,4,512,sigmoid,8.064371452780499e-05,512,epochs,0.7492479085922241,0.3558560609817505,0.4897284209728241
20,4,64,relu,0.004589632641443921,128,epochs,0.8837864398956299,0.240115225315094,0.34663787484169006
30,8,512,sigmoid,0.0016858038614989879,128,epochs,0.9276251792907715,0.1710868775844574,0.2631036043167114
10,9,256,relu,0.00021386969898751202,128,epochs,0.8845092058181763,0.21665672957897186,0.3360113203525543
20,6,128,relu,0.007031247166659909,512,epochs,0.88555908203125,0.24581822752952576,0.34398403763771057
10,10,256,relu,0.009256839032315934,128,epochs,0.8351421356201172,0.29039180278778076,0.4014533460140228
10,10,64,tanh,0.0037602643659572577,128,epochs,0.8387572765350342,0.2606428563594818,0.39702722430229187
20,10,128,sigmoid,9.360830597035288e-05,128,epochs,0.5783082246780396,0.46110713481903076,0.6603058576583862
20,8,64,tanh,0.0003247252571251985,64,epochs,0.8761953115463257,0.2556348145008087,0.3577800393104553
10,4,512,tanh,0.00019002942657260128,64,epochs,0.8976606130599976,0.22436553239822388,0.31630179286003113
10,6,128,relu,2.3909735121733967e-05,256,epochs,0.7470256090164185,0.34423285722732544,0.49730005860328674
20,4,64,sigmoid,0.0008969123305595626,128,epochs,0.8221439123153687,0.3098239302635193,0.42882680892944336
20,10,512,tanh,0.0001769982411625697,64,epochs,0.9403586387634277,0.15517130494117737,0.24832551181316376
10,10,64,relu,0.0001975284044279133,256,epochs,0.7789303660392761,0.3279162645339966,0.4648841917514801
20,10,512,sigmoid,1.426718326612058e-05,256,epochs,-0.027231812477111816,0.7920939922332764,1.0305802822113037
10,6,256,relu,0.0019400677473989983,128,epochs,0.9110920429229736,0.17701376974582672,0.29481562972068787
30,9,64,sigmoid,0.006127070436446126,256,epochs,0.8097608089447021,0.29350578784942627,0.4265628755092621
10,10,128,sigmoid,0.0009376352033926908,64,epochs,0.7739394903182983,0.3308658003807068,0.47010257840156555
20,5,256,tanh,0.0014614632640653174,64,epochs,0.9285180568695068,0.17015862464904785,0.2718602418899536
10,9,64,tanh,0.0002134710189026024,512,epochs,0.7687293291091919,0.3373921811580658,0.4754890501499176
20,4,256,sigmoid,0.0010850725184587018,512,epochs,0.829326868057251,0.3038279712200165,0.42007821798324585
20,8,64,relu,4.104586128066555e-05,128,epochs,0.8221320509910583,0.3088562786579132,0.42884114384651184
30,7,128,relu,0.0001382363751439632,128,epochs,0.872677743434906,0.24694760143756866,0.3489677309989929
30,4,512,relu,0.00023947641665641954,64,epochs,0.9308246970176697,0.17141233384609222,0.2572222650051117
20,9,512,tanh,2.2157467348292442e-05,64,epochs,0.914774477481842,0.20807284116744995,0.29684680700302124
20,10,64,relu,0.00020278208344760642,512,epochs,0.8217102289199829,0.30527710914611816,0.4293493628501892
10,8,64,sigmoid,0.0003387319692711264,256,epochs,0.617080569267273,0.42548108100891113,0.6118345260620117
20,5,128,sigmoid,2.8748114572232872e-05,64,epochs,0.5459564328193665,0.4732792377471924,0.6851668357849121
30,10,512,sigmoid,0.005921923259015841,256,epochs,-0.05982983112335205,0.7870040535926819,1.006818413734436
20,8,64,tanh,0.00033266771554420183,256,epochs,0.869648277759552,0.2550167441368103,0.3671182096004486
10,8,512,tanh,0.000550792759083607,64,epochs,0.5720555186271667,0.4746677875518799,0.6468058824539185
30,5,64,tanh,2.044116443369308e-05,256,epochs,0.7181603908538818,0.38708558678627014,0.5191992521286011
10,9,512,tanh,0.0003734269517136613,128,epochs,0.9169961810112,0.1772814244031906,0.2848586142063141
10,10,256,relu,9.751518866885027e-05,512,epochs,0.8398378491401672,0.2809372842311859,0.39569467306137085
30,9,128,tanh,8.525016194205556e-05,512,epochs,0.8064473271369934,0.31741902232170105,0.43026167154312134
10,9,64,sigmoid,0.001026521666279519,256,epochs,0.7079695463180542,0.37257859110832214,0.5343112349510193
10,5,64,tanh,0.0034141701897758146,64,epochs,0.8678947687149048,0.23990598320960999,0.3593687117099762
30,4,256,sigmoid,2.472561623442981e-05,512,epochs,0.5448040962219238,0.49587929248809814,0.6598302721977234
30,10,128,sigmoid,0.0002055986295217495,512,epochs,0.7544670104980469,0.3431903123855591,0.4846051335334778
10,8,128,tanh,0.00788478601615764,512,epochs,0.7345167398452759,0.34985673427581787,0.5094467401504517
20,10,512,sigmoid,0.00038227805297327984,128,epochs,0.8659578561782837,0.26125964522361755,0.37227872014045715
20,8,64,sigmoid,0.003448870044517531,64,epochs,0.8268946409225464,0.29319077730178833,0.42306089401245117
20,4,128,tanh,0.0045070182968739965,64,epochs,0.8703351616859436,0.2582588791847229,0.3661496937274933
10,7,64,tanh,4.7164613059768306e-05,256,epochs,0.7219678163528442,0.3747712969779968,0.5213480591773987
10,4,256,tanh,0.001225225327195255,128,epochs,0.9025809168815613,0.21476493775844574,0.30860447883605957
